FoxID,CAUSE,No.,Sex,Age,Group,Area,date.begin,date.end,S_YEAR,E_YEAR,S_WEEK,E_WEEK,S_Y,E_Y,S_W,E_W,S_W2,E_W2,Weeks,S_Y2,E_Y2,CENS
Alba,1,1,F,AD,FAD,Hedmark,2017-10-18,2017-11-11,2017,2017,42,46,7,7,354,358,319,323,4,7,7,1
Allan,9,3,M,SA,MSA,Kolmården,2018-03-15,2018-05-16,2018,2018,11,20,8,8,375,384,340,349,9,7,7,0
Ann1,9,5,F,AD,FAD,Kolmården,2013-06-25,2013-10-30,2013,2013,26,44,3,3,130,148,95,113,18,2,3,0
Ann2,9,6,F,AD,FAD,Kolmården,2013-12-26,2014-09-15,2013,2014,52,37,3,4,156,193,121,158,37,3,4,0
Artur,9,7,M,SA,MSA,Kolmården,2016-09-30,2017-01-31,2016,2017,40,5,6,7,300,317,265,282,17,6,6,0
Bakken,9,8,M,SA,MSA,Hedmark,2018-02-22,2018-10-12,2018,2018,8,41,8,8,372,405,337,370,33,7,8,0
Bane,9,9,M,SA,MSA,Hedmark,2015-12-23,2016-05-31,2015,2016,52,22,5,6,260,282,225,247,22,5,5,0
Bengt,9,10,M,AD,MAD,Kolmården,2013-02-26,2013-11-06,2013,2013,9,45,3,3,113,149,78,114,36,2,3,0
Bettan,9,11,F,AD,FAD,Kolmården,2017-03-21,2017-06-08,2017,2017,12,23,7,7,324,335,289,300,11,6,6,0
Bibbi,9,12,F,SA,FSA,Kolmården,2017-02-11,2017-03-05,2017,2017,7,10,7,7,319,322,284,287,3,6,6,0
Birger,6,13,M,SA,MSA,Grimsö,2012-03-03,2012-06-10,2012,2012,10,24,2,2,62,76,27,41,14,1,1,1
Bosse,9,14,M,AD,MAD,Kolmården,2013-11-24,2014-06-30,2013,2014,47,26,3,4,151,182,116,147,31,3,3,0
Brasse,3,903,M,SA,MSA,Kolmården,2014-09-04,2014-09-27,2014,2014,36,39,4,4,192,195,157,160,3,4,4,1
Carmen,9,15,F,SA,FSA,Grimsö,2013-01-27,2013-10-25,2013,2013,4,43,3,3,108,147,73,112,39,2,3,0
